Target Name,Target Pos X,Target Pos Y,Target Heading,Target Velocity,Power,Distance,Hit
sample.Walls,136.09538329143214,122.05438227256701,270.0,8.0,2.0,546.5569417761322,0
sample.Corners,780.7163136771169,541.4865257252095,0.0,0.0,2.0,249.06871253669397,0
sample.SittingDuck,433.23066464715737,166.7360421700708,327.8851275691116,0.0,2.0,376.13474014331604,1
sample.Crazy,424.2153059443752,438.6648843019271,75.72419337719887,-8.0,3.0,103.67543706809224,0
sample.Corners,776.0045759935115,513.4719900286062,0.0,0.0,2.0,394.6370810918349,1
sample.SittingDuck,474.2060987718612,159.36669991974492,327.8851275691116,0.0,2.0,377.7298941782147,1
sample.Walls,18.487547631007942,602.7661115919456,0.0,0.0,2.0,277.31624024678223,1
sample.Corners,773.7587851735533,487.80248349542245,0.0,0.0,2.0,542.4618776319966,0
sample.Fire,309.3637936278062,211.23684156061609,317.9999999999999,0.0,2.0,317.1334490334601,1
sample.Walls,21.307607298409806,591.3910124930537,0.0,0.0,3.0,104.2303555959294,0
sample.Fire,363.4544257548556,213.35537602169012,260.28341300367396,0.0,2.0,312.5587506500933,1
sample.Corners,789.5170159049908,537.0840778443996,0.0,0.0,2.0,639.1925190899077,1
sample.Walls,89.23548211333055,575.7684532495913,90.0,8.0,3.0,135.76913536401037,0
sample.Walls,202.57827922253006,584.0098157528862,90.0,8.0,3.0,160.794869782142,0
sample.Fire,338.6879694675175,138.8361505538208,229.7307331627369,1.0,2.0,382.1131072747715,0
sample.Crazy,248.37465598742207,447.0491406868547,21.724193377198983,8.0,2.0,217.98330502200065,1
sample.Fire,310.39807317241434,110.57381626883375,229.7307331627369,0.0,2.0,260.74248836394327,1
sample.Crazy,671.0265795210912,423.11228480932226,319.72419337719896,-8.0,2.0,634.2104789532117,0
sample.Fire,333.8706289624837,133.4551607516422,358.88571073489084,0.0,2.0,265.382239676536,1
sample.Fire,339.0865970915961,100.25309582876532,259.7365380036746,0.0,3.0,103.7599968712568,1
sample.Crazy,497.0017843383889,148.02594602487807,227.7241933771989,8.0,2.0,256.0836046315962,0
sample.Walls,33.55362736112998,448.4043468228662,0.0,8.0,2.0,244.4468618593178,0
sample.Crazy,481.17724388997925,220.90591007781913,343.724193377199,8.0,2.0,301.36916783947805,0
sample.Walls,625.3681490516237,550.3216834704549,90.0,8.0,2.0,586.1257506038678,0
sample.Crazy,96.85751817855882,503.37699765962293,263.72419337719884,8.0,2.0,310.1009735130374,0
sample.Walls,772.813594332026,14.31689800425545,180.0,8.0,2.0,628.6034756432358,0
sample.Crazy,386.21408006806655,327.9908486761025,353.7241933771991,8.0,2.0,271.7537205116023,1
sample.Walls,6.662260470507874,24.79469178164883,309.99999999999994,0.0,3.0,161.62131652381655,0
sample.Crazy,465.3066578741382,18.632073957721815,127.724193377199,8.0,2.0,291.2293560250166,1
sample.Walls,248.98864876398528,578.5579795211625,90.0,8.0,2.0,371.5755221538188,0
sample.Crazy,519.6194245346335,280.4608812797841,285.7241933771991,8.0,2.0,362.42570211256555,1
sample.Walls,814.415939341427,505.85431376468046,180.0,7.0,1.0,818.5820551164138,0
sample.Corners,637.7798763866872,398.0273184006737,90.0,8.0,3.0,196.73947948066152,0
sample.Fire,318.9953430923146,335.3811910528007,358.7966635600926,0.0,3.0,105.34423884501115,1
sample.Walls,239.38009077358453,27.480688381075936,270.0,8.0,2.0,427.8672718518428,0
sample.Crazy,762.1894545160559,495.6947699786526,128.63623047496856,-7.0,2.0,251.9682452067475,0
sample.SittingDuck,50.4387245493096,252.6179852964897,0.420638173137009,0.0,2.0,446.1701196256947,1
sample.Walls,10.415380794553869,512.5443174936272,0.0,8.0,2.0,466.9218944530057,0
sample.Corners,779.6592913813168,395.0749332903853,90.0,0.0,2.0,251.60853980537914,0
sample.Fire,362.28327736777374,398.23723112782204,178.1096358317173,0.0,3.0,118.54889103533782,1
