Target Name,Target Pos X,Target Pos Y,Target Velocity,Power,Distance,Hit
sample.Corners,595.34999915353,586.4470446932393,0.0,2.0,484.2819134340849,1
sample.Crazy,755.0535961433511,57.29861349610819,8.0,3.0,99.48065531210175,1
sample.Walls,250.67091689149288,624.4561419899651,0.0,1.0,711.12744716813,1
sample.Crazy,727.1852356611437,266.6453837318485,7.0,3.0,166.283892435787,0
sample.SittingDuck,767.9735211890838,513.5084456817449,0.0,2.0,310.76735554811296,1
sample.Crazy,344.77364375235453,533.5152429840953,8.0,2.0,442.72077000921513,1
sample.SittingDuck,757.7466176600144,517.5866990836033,0.0,2.0,245.55837239467297,1
sample.Crazy,493.99197286618676,360.48128449456306,8.0,3.0,184.19721745307322,0
sample.SittingDuck,754.3512879427269,517.5055352668865,0.0,3.0,194.21326935428658,1
sample.Crazy,293.2948033236976,563.8300653804456,8.0,2.0,436.5886162297567,0
sample.Fire,641.2921099022541,559.5791580291952,0.0,2.0,270.95848236583095,1
sample.Walls,474.77682234277404,204.4422724231423,8.0,3.0,136.3032296219183,0
sample.Walls,93.72490243488039,55.540264123766065,8.0,1.0,560.3357839738446,0
sample.Fire,642.294973994677,510.1010848081745,0.0,2.0,256.3465093419162,1
sample.Crazy,475.45180523808216,169.10453044418983,8.0,3.0,144.05920760671046,1
sample.Fire,600.427920068508,527.3039509488065,0.0,2.0,363.164663809807,1
sample.Fire,592.1790974849575,482.21733532987736,0.0,2.0,260.099415736084,1
sample.Crazy,439.1882366958107,177.27278109822458,-8.0,2.0,246.12448477834167,0
sample.Fire,684.1765006022027,466.7287569676846,0.0,3.0,126.10808668852769,1
sample.Walls,763.8571156170574,6.819774501673351,0.0,2.0,287.11348533605053,0
sample.Crazy,514.5449249743087,343.97541807217044,-8.0,3.0,48.015284978580645,1
sample.Fire,631.907994282179,493.23131123990674,0.0,3.0,186.8286760958253,0
sample.Walls,34.540535673343186,50.54219537419445,8.0,1.0,500.42485634385616,0
sample.Crazy,802.2069147235725,535.5898190836765,0.0,2.0,385.76559747628016,1
sample.Walls,57.279096501378206,613.0973895275173,5.0,1.0,553.9123603426549,0
sample.Walls,802.3339802462095,509.64174045932384,8.0,2.0,393.147925659238,0
sample.Walls,324.0059822024739,28.242365727462882,8.0,2.0,224.34327770543592,0
